Cueanexo,Departamento,id_departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET
20000100,Comuna 4,2104,1.0,,,,1.0,
20000102,Comuna 4,2104,1.0,1.0,1.0,1.0,,
20000200,Comuna 4,2104,1.0,,,1.0,,
20000300,Comuna 13,2113,1.0,1.0,1.0,,,
20000301,Comuna 13,2113,1.0,,,1.0,,
20000500,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20000700,Comuna 9,2109,1.0,1.0,1.0,1.0,1.0,
20000800,Comuna 9,2109,1.0,,,1.0,,
20000900,Comuna 4,2104,1.0,,,1.0,,
20001000,Comuna 4,2104,1.0,,,1.0,,
20001100,Comuna 4,2104,1.0,,,1.0,,
20001200,Comuna 4,2104,1.0,,,1.0,,
20001500,Comuna 1,2101,,,,,,
20001700,Comuna 13,2113,1.0,1.0,1.0,1.0,,
20001800,Comuna 11,2111,1.0,,,1.0,,
20001900,Comuna 3,2103,,,,,,
20002000,Comuna 5,2105,,,,,,
20002100,Comuna 3,2103,,,,,,
20002200,Comuna 9,2109,1.0,,,1.0,,
20002300,Comuna 9,2109,1.0,,,1.0,,
20002400,Comuna 10,2110,1.0,,,1.0,,
20002500,Comuna 10,2110,1.0,,,1.0,,
20002600,Comuna 13,2113,1.0,,,,,
20002700,Comuna 13,2113,1.0,,1.0,,,
20002800,Comuna 13,2113,1.0,1.0,1.0,1.0,,
20002900,Comuna 4,2104,1.0,,1.0,1.0,,
20003100,Comuna 2,2102,1.0,1.0,1.0,1.0,1.0,
20003300,Comuna 1,2101,1.0,,1.0,1.0,,
20003400,Comuna 2,2102,1.0,1.0,1.0,1.0,,
20003600,Comuna 1,2101,,,,,,
20003700,Comuna 4,2104,1.0,1.0,1.0,,,
20003800,Comuna 4,2104,1.0,,,1.0,,
20003900,Comuna 4,2104,1.0,,,1.0,,
20004000,Comuna 7,2107,1.0,,,1.0,,
20004100,Comuna 4,2104,1.0,,,1.0,,
20004200,Comuna 4,2104,1.0,,,1.0,,
20004300,Comuna 4,2104,1.0,,,1.0,,
20004400,Comuna 7,2107,1.0,,1.0,,,
20004500,Comuna 3,2103,,,,,,
20004600,Comuna 15,2115,1.0,,,1.0,,
20004700,Comuna 14,2114,1.0,1.0,1.0,1.0,,
20004800,Comuna 15,2115,1.0,,,1.0,,
20004900,Comuna 4,2104,1.0,,1.0,1.0,,
20005000,Comuna 4,2104,1.0,,,1.0,,
20005100,Comuna 15,2115,1.0,,,1.0,,
20005200,Comuna 15,2115,,,,,,
20005300,Comuna 4,2104,1.0,,,1.0,,
20005400,Comuna 11,2111,1.0,1.0,1.0,1.0,,
20005500,Comuna 1,2101,1.0,1.0,1.0,,,
20005600,Comuna 3,2103,1.0,,,1.0,,
20005700,Comuna 4,2104,,,,,,
20005800,Comuna 3,2103,1.0,,,,1.0,
20005801,Comuna 13,2113,1.0,,,1.0,1.0,
20006000,Comuna 4,2104,,,,,,
20006100,Comuna 15,2115,,,,,,
20006200,Comuna 4,2104,,,,,,
20006300,Comuna 1,2101,1.0,,,1.0,,
20006500,Comuna 1,2101,1.0,,1.0,1.0,,
20007000,Comuna 11,2111,,,,,,
20007100,Comuna 1,2101,1.0,,,1.0,,
20007200,Comuna 1,2101,1.0,,,1.0,,
20007202,Comuna 1,2101,1.0,1.0,1.0,,,
20007300,Comuna 1,2101,1.0,,,1.0,,
20007500,Comuna 10,2110,1.0,,1.0,,,
20007501,Comuna 10,2110,1.0,,1.0,,,
20007502,Comuna 10,2110,1.0,,1.0,,,
20007600,Comuna 4,2104,1.0,,1.0,,,
20007700,Comuna 4,2104,1.0,,,1.0,,
20007800,Comuna 5,2105,1.0,,,,1.0,
20007900,Comuna 9,2109,1.0,,,,1.0,
20008000,Comuna 10,2110,,,,,,
20008200,Comuna 2,2102,1.0,1.0,1.0,1.0,,
20008300,Comuna 12,2112,1.0,1.0,1.0,1.0,1.0,
20008400,Comuna 10,2110,1.0,1.0,1.0,,,
20008500,Comuna 10,2110,1.0,,,1.0,,
20008600,Comuna 10,2110,1.0,,,1.0,,
20008900,Comuna 4,2104,1.0,,,1.0,,
20009000,Comuna 8,2108,1.0,,,1.0,,
20009100,Comuna 12,2112,1.0,1.0,1.0,1.0,1.0,
20009500,Comuna 14,2114,1.0,1.0,1.0,1.0,1.0,
20009600,Comuna 2,2102,,,,,,
20009700,Comuna 10,2110,1.0,1.0,1.0,,,
20009800,Comuna 15,2115,1.0,1.0,1.0,,,
20009801,Comuna 15,2115,1.0,,,1.0,1.0,
20009900,Comuna 12,2112,1.0,1.0,1.0,1.0,,
20010000,Comuna 14,2114,1.0,,1.0,1.0,1.0,
20010200,Comuna 8,2108,1.0,,,,1.0,
20010201,Comuna 8,2108,1.0,1.0,1.0,1.0,,
20010300,Comuna 8,2108,1.0,,,1.0,,
20010400,Comuna 4,2104,1.0,,1.0,1.0,,
20010500,Comuna 6,2106,,,,,,
20010600,Comuna 5,2105,,,,,,
20010601,Comuna 7,2107,,,,,,
20010700,Comuna 3,2103,,,,,,
20010800,Comuna 8,2108,,,,,,
20011000,Comuna 9,2109,1.0,,,1.0,,
20011100,Comuna 9,2109,1.0,,,1.0,,
20011200,Comuna 9,2109,1.0,,,1.0,,
20011300,Comuna 9,2109,1.0,,,1.0,,
20011400,Comuna 6,2106,1.0,1.0,1.0,1.0,,
20011500,Comuna 10,2110,1.0,1.0,1.0,1.0,1.0,
20011600,Comuna 12,2112,1.0,,1.0,1.0,1.0,
20011700,Comuna 7,2107,1.0,,1.0,,,
20011800,Comuna 1,2101,1.0,1.0,1.0,1.0,1.0,
20011900,Comuna 4,2104,,,,,,
20011901,Comuna 8,2108,,,,,,
20012000,Comuna 1,2101,1.0,,,1.0,,
20012100,Comuna 1,2101,1.0,,,1.0,,
20012300,Comuna 14,2114,1.0,,,1.0,1.0,
20012301,Comuna 14,2114,1.0,1.0,1.0,,1.0,
20012400,Comuna 13,2113,,,,,,
20012500,Comuna 14,2114,1.0,,,1.0,,
20012600,Comuna 13,2113,1.0,1.0,1.0,1.0,1.0,
20012700,Comuna 14,2114,1.0,1.0,1.0,1.0,1.0,
20012800,Comuna 14,2114,1.0,,,1.0,,
20012900,Comuna 13,2113,1.0,,,,1.0,1.0
20013000,Comuna 15,2115,1.0,,,1.0,,
20013500,Comuna 4,2104,1.0,,,1.0,,
20013600,Comuna 12,2112,1.0,,,1.0,,
20013800,Comuna 12,2112,1.0,,1.0,1.0,1.0,
20013900,Comuna 7,2107,1.0,,,1.0,,
20014000,Comuna 11,2111,1.0,,,1.0,,
20014100,Comuna 7,2107,1.0,,,1.0,,
20014200,Comuna 11,2111,1.0,1.0,1.0,1.0,1.0,
20014300,Comuna 11,2111,1.0,,,,1.0,
20014400,Comuna 11,2111,1.0,1.0,1.0,,,
