id_departamento,Departamento
06778,SAN VICENTE
06791,TANDIL
06441,LA PLATA
06161,CARMEN DE ARECO
06105,BOLIVAR
06609,PEHUAJO
06134,CAÑUELAS
06274,FLORENCIO VARELA
06638,PILAR
06763,SAN NICOLAS
06665,RAMALLO
06175,COLON
06574,NAVARRO
06679,RIVADAVIA
06798,TAPALQUE
42147,TRENEL
42140,TOAY
42014,CALEU CALEU
46098,VINCHINA
50035,JUNIN
02056,Comuna 8
06518,MAR CHIQUITA
06728,SAN ANDRES DE GILES
06364,GENERAL RODRIGUEZ
06466,LEZAMA
06784,SUIPACHA
06294,GENERAL ARENALES
06553,MONTE HERMOSO
06336,GENERAL LAVALLE
10070,LA PAZ
10056,EL ALTO
14147,SANTA MARIA
14091,PUNILLA
14042,GENERAL SAN MARTIN
14182,UNION
14077,POCHO
14133,SAN JAVIER
14056,JUAREZ CELMAN
18119,PASO DE LOS LIBRES
22014,BERMEJO
22070,INDEPENDENCIA
22049,GENERAL BELGRANO
22084,LIBERTADOR GENERAL SAN MARTIN
26021,ESCALANTE
30008,COLON
30070,LA PAZ
34035,PATIÑO
54119,25 DE MAYO
54105,SAN JAVIER
58021,CATAN LIL
62063,PICHI MAHUIDA
66126,ORAN
66105,LOS ANDES
66147,ROSARIO DE LERMA
66070,IRUYA
66021,CAFAYATE
66161,SANTA VICTORIA
70070,POCITO
70056,JACHAL
70021,CALINGASTA
78014,DESEADO
82126,SAN MARTIN
86007,AGUIRRE
86168,SALAVINA
86189,SILIPICA
86182,SARMIENTO
86070,FIGUEROA
86084,GUASAYAN
90028,FAMAILLA
90042,JUAN B ALBERDI
90091,SIMOCA
94015,USHUAIA
06410,ITUZAINGO
06840,TRES DE FEBRERO
06126,CAMPANA
06203,CORONEL SUAREZ
06749,SAN FERNANDO
06322,GENERAL LA MADRID
06154,CARLOS TEJEDOR
06505,MAGDALENA
06119,BRANDSEN
06035,AVELLANEDA
06693,ROQUE PEREZ
06658,QUILMES
06651,PUAN
06007,ADOLFO ALSINA
06805,TIGRE
06182,CORONEL DE MARINA L ROSALES
06189,CORONEL DORREGO
42049,CHALILEO
42042,CURACO
46014,CAPITAL
46042,CHILECITO
50105,SAN RAFAEL
02077,Comuna 11
02021,Comuna 3
02070,Comuna 10
